"region";"vaccine";"n_dose";"year";"cov1y";"cov2y";"cov3y";"cov4y";"cov5y"
"london";"MMR";1;2016;0.693950024625;0.8638008173;0.90183146051183;0.9072701636244;0.910611412
"london";"MMR";1;2017;0.69428413185;0.850533399;0.891393041621;0.91048762328332;0.9110778277
"london";"MMR";1;2018;0.686226801675;0.8514243516;0.883445896887;0.89820712136636;0.9144603989
"london";"MMR";1;2019;0.688433561625;0.8299381378;0.876823901925;0.89157385288692;0.9037895482
"london";"MMR";2;2005;0;0.389001381509033;0.572218780903944;0.572218780903944;0.572218780903944
"london";"MMR";2;2006;0;0.389123527007217;0.516259298618491;0.516259298618491;0.516259298618491
"london";"MMR";2;2007;0;0.372427587853446;0.516421402796572;0.516421402796572;0.516421402796572
"london";"MMR";2;2008;0;0.474728129263301;0.494263553886458;0.494263553886458;0.494263553886458
"london";"MMR";2;2009;0;0.5440277135645;0.630030695770805;0.630030695770805;0.630030695770805
"london";"MMR";2;2010;0;0.57733540865165;0.722000947;0.722000947;0.722000947
"london";"MMR";2;2011;0;0.64147680323727;0.7662049219;0.7662049219;0.7662049219
"london";"MMR";2;2012;0;0.67013582442289;0.8021468091;0.8021468091;0.8021468091
"london";"MMR";2;2013;0;0.6948501300762;0.8076844937;0.8076844937;0.8076844937
"london";"MMR";2;2014;0;0.71653245055335;0.8070268642;0.8070268642;0.8070268642
"london";"MMR";2;2015;0;0.70399127385936;0.8110157901;0.8110157901;0.8110157901
"london";"MMR";2;2016;0;0.68550121250625;0.8165057688;0.8165057688;0.8165057688
"london";"MMR";2;2017;0;0.6743010088671;0.7947840145;0.7947840145;0.7947840145
"london";"MMR";2;2018;0;0.65604135526062;0.7781892774;0.7781892774;0.7781892774
"london";"MMR";2;2019;0;0.66144976492772;0.7631049846;0.7631049846;0.7631049846
"north east";"MMR";1;2005;0.702;0.852;0.840908195841046;0.902646311613048;0.923958854203872
"north east";"MMR";1;2006;0.708;0.872;0.859589898487141;0.875891846655083;0.913126331128797
"north east";"MMR";1;2007;0.698475;0.888;0.879064603274317;0.904531258850227;0.884523854493257
"north east";"MMR";1;2008;0.70065;0.885;0.89433292757062;0.920895581924587;0.915620272314675
"north east";"MMR";1;2009;0.71175;0.881;0.89201720388178;0.93183150289238;0.931217127194607
"north east";"MMR";1;2010;0.707175;0.911342331;0.92107456539164;0.93356752091522;0.9410840534
"north east";"MMR";1;2011;0.721875;0.9143420779;0.9381373578348;0.94561339434371;0.9438198146
"north east";"MMR";1;2012;0.726375;0.9301409756;0.9412418392429;0.95459896733312;0.9530247401
"north east";"MMR";1;2013;0.725475;0.940898192;0.945392533395;0.9648468846568;0.9619467254
"north east";"MMR";1;2014;0.728175;0.9549970777;0.958433120411;0.9594586452825;0.9674826574
"north east";"MMR";1;2015;0.731025;0.9516824849;0.96463820126324;0.9694679215136;0.9655274206
"north east";"MMR";1;2016;0.730796567325;0.9501977093;0.96396747706328;0.97317508224242;0.9730134455
"north east";"MMR";1;2017;0.729522712425;0.9487908462;0.95870653958291;0.96912182379152;0.9754839531
"north east";"MMR";1;2018;0.7295284392375;0.9453938998;0.95908478009997;0.96417615677783;0.9716450981
"north east";"MMR";1;2019;0.73164625875;0.9454091713;0.9584376262717;0.96570189149961;0.966303767
"north east";"MMR";2;2005;0;0.776821768859993;0.804128866347596;0.804128866347596;0.804128866347596
"north east";"MMR";2;2006;0;0.777042080610433;0.800022419011322;0.800022419011322;0.800022419011322
"north east";"MMR";2;2007;0;0.800450680786687;0.800249310618366;0.800249310618366;0.800249310618366
"north east";"MMR";2;2008;0;0.826777835395214;0.824357034795764;0.824357034795764;0.824357034795764
"north east";"MMR";2;2009;0;0.864247554083;0.851470479294763;0.851470479294763;0.851470479294763
"north east";"MMR";2;2010;0;0.8610828283532;0.890059273;0.890059273;0.890059273
"north east";"MMR";2;2011;0;0.83780428228574;0.8868000292;0.8868000292;0.8868000292
"north east";"MMR";2;2012;0;0.88478277588684;0.8992210822;0.8992210822;0.8992210822
"north east";"MMR";2;2013;0;0.89645570975952;0.9166833567;0.9166833567;0.9166833567
"north east";"MMR";2;2014;0;0.88992453420288;0.9291622199;0.9291622199;0.9291622199
"north east";"MMR";2;2015;0;0.91092055379381;0.9363684072;0.9363684072;0.9363684072
"north east";"MMR";2;2016;0;0.88833204915049;0.9422991143;0.9422991143;0.9422991143
"north east";"MMR";2;2017;0;0.88231151860755;0.9242868059;0.9242868059;0.9242868059
"north east";"MMR";2;2018;0;0.88834039545244;0.9185960631;0.9185960631;0.9185960631
"north east";"MMR";2;2019;0;0.89347976449704;0.9143067059;0.9143067059;0.9143067059
"north west";"MMR";1;2005;0.698625;0.84;0.865689163250584;0.887088738308528;0.910775926759718
"north west";"MMR";1;2006;0.703875;0.863;0.879585469061666;0.882209993210269;0.896903357385344
"north west";"MMR";1;2007;0.653625;0.877;0.899061484718264;0.896937533868573;0.893273923191173
"north west";"MMR";1;2008;0.683175;0.867;0.91150996213304;0.914868831067748;0.90855813831255
"north west";"MMR";1;2009;0.685275;0.872;0.91090333057678;0.9266372073978;0.925454944091208
"north west";"MMR";1;2010;0.697575;0.9113701655;0.9135854877065;0.93014810537585;0.9367678596
"north west";"MMR";1;2011;0.710175;0.9118587236;0.937353724598;0.9378977247425;0.9430362497
"north west";"MMR";1;2012;0.714525;0.9338245374;0.93824331543025;0.9527135348792;0.950124155
"north west";"MMR";1;2013;0.711975;0.9491660682;0.95069791875714;0.95376648186025;0.9593545775
"north west";"MMR";1;2014;0.71745;0.9483972327;0.9551708849745;0.96029039886743;0.9597697311
"north west";"MMR";1;2015;0.714075;0.9399542364;0.9553987194296;0.9614063952748;0.9624331867
"north west";"MMR";1;2016;0.7259750872125;0.929019725;0.94967611682352;0.96282624002152;0.9627362756
"north west";"MMR";1;2017;0.7234596825;0.9359335659;0.94281609059835;0.95688743263584;0.9649101731
"north west";"MMR";1;2018;0.7215618690375;0.92922582;0.94472731095968;0.9497587312905;0.9586897932
"north west";"MMR";1;2019;0.719736384675;0.9241649841;0.94245250542202;0.9491525207624;0.9530510185
"north west";"MMR";2;2005;0;0.607700712524687;0.765195857721747;0.765195857721747;0.765195857721747
"north west";"MMR";2;2006;0;0.611969780394653;0.763730944482452;0.763730944482452;0.763730944482452
"north west";"MMR";2;2007;0;0.622796291867601;0.769096117122852;0.769096117122852;0.769096117122852
"north west";"MMR";2;2008;0;0.657304005829475;0.782702390181727;0.782702390181727;0.782702390181727
"north west";"MMR";2;2009;0;0.68272324502569;0.826070134258483;0.826070134258483;0.826070134258483
"north west";"MMR";2;2010;0;0.68780192209736;0.8580158917;0.8580158917;0.8580158917
"north west";"MMR";2;2011;0;0.7941697299136;0.8643985448;0.8643985448;0.8643985448
"north west";"MMR";2;2012;0;0.8433996830676;0.8785063384;0.8785063384;0.8785063384
"north west";"MMR";2;2013;0;0.85567938319336;0.906783876;0.906783876;0.906783876
"north west";"MMR";2;2014;0;0.84670924302335;0.9145782206;0.9145782206;0.9145782206
"north west";"MMR";2;2015;0;0.82598409316236;0.9074153285;0.9074153285;0.9074153285
"north west";"MMR";2;2016;0;0.82231043079801;0.8935353669;0.8935353669;0.8935353669
"north west";"MMR";2;2017;0;0.82977979224679;0.9029432643;0.9029432643;0.9029432643
"north west";"MMR";2;2018;0;0.83288856661916;0.8940629159;0.8940629159;0.8940629159
"north west";"MMR";2;2019;0;0.82500743420856;0.8894581019;0.8894581019;0.8894581019
"south east";"MMR";1;2005;0.691656698380165;0.813459671140495;0.820181653832862;0.854276284135903;0.879442436757873
"south east";"MMR";1;2006;0.698807363553719;0.844417862347107;0.836859568759632;0.838146213817351;0.858739377677703
"south east";"MMR";1;2007;0.634275;0.863486302809917;0.865430974057177;0.853965389870808;0.84295696577946
"south east";"MMR";1;2008;0.691275;0.845935581421487;0.88617368616867;0.88079200408184;0.858546179077174
"south east";"MMR";1;2009;0.691425;0.864486115438016;0.880954412144035;0.902758644254048;0.88490555350331
"south east";"MMR";1;2010;0.70425;0.8946251971;0.895981658581071;0.906553919612503;0.9071999509
"south east";"MMR";1;2011;0.7131;0.898371744;0.91848128602864;0.912891241272036;0.9134092437
